route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-V08-G-mjp-1","T0","1051.T0.1-V08-G-mjp-1.1.H","1-V08-G-mjp-1.1.H","Melbourne","0"
"1-V08-G-mjp-1","T0","1052.T0.1-V08-G-mjp-1.2.H","1-V08-G-mjp-1.2.H","Melbourne","0"
"1-V08-G-mjp-1","T0","1053.T0.1-V08-G-mjp-1.2.H","1-V08-G-mjp-1.2.H","Melbourne","0"
"1-V08-G-mjp-1","T0","1522.T0.1-V08-G-mjp-1.4.R","1-V08-G-mjp-1.4.R","Bairnsdale","1"
"1-V08-G-mjp-1","T0","1523.T0.1-V08-G-mjp-1.5.R","1-V08-G-mjp-1.5.R","Bairnsdale","1"
"1-V08-G-mjp-1","T0","1524.T0.1-V08-G-mjp-1.6.R","1-V08-G-mjp-1.6.R","Bairnsdale","1"
"1-V12-G-mjp-1","T0","1079.T0.1-V12-G-mjp-1.1.H","1-V12-G-mjp-1.1.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1094.T0.1-V12-G-mjp-1.1.H","1-V12-G-mjp-1.1.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1080.T0.1-V12-G-mjp-1.2.H","1-V12-G-mjp-1.2.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1092.T0.1-V12-G-mjp-1.2.H","1-V12-G-mjp-1.2.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1085.T0.1-V12-G-mjp-1.2.H","1-V12-G-mjp-1.2.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1087.T0.1-V12-G-mjp-1.2.H","1-V12-G-mjp-1.2.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1084.T0.1-V12-G-mjp-1.2.H","1-V12-G-mjp-1.2.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1081.T0.1-V12-G-mjp-1.3.H","1-V12-G-mjp-1.3.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1082.T0.1-V12-G-mjp-1.4.H","1-V12-G-mjp-1.4.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1095.T0.1-V12-G-mjp-1.4.H","1-V12-G-mjp-1.4.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1083.T0.1-V12-G-mjp-1.5.H","1-V12-G-mjp-1.5.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1096.T0.1-V12-G-mjp-1.6.H","1-V12-G-mjp-1.6.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1091.T0.1-V12-G-mjp-1.6.H","1-V12-G-mjp-1.6.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1093.T0.1-V12-G-mjp-1.6.H","1-V12-G-mjp-1.6.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1097.T0.1-V12-G-mjp-1.7.H","1-V12-G-mjp-1.7.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1088.T0.1-V12-G-mjp-1.7.H","1-V12-G-mjp-1.7.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1090.T0.1-V12-G-mjp-1.7.H","1-V12-G-mjp-1.7.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1086.T0.1-V12-G-mjp-1.7.H","1-V12-G-mjp-1.7.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1089.T0.1-V12-G-mjp-1.8.H","1-V12-G-mjp-1.8.H","Melbourne","0"
"1-V12-G-mjp-1","T0","1554.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1556.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1570.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1561.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1563.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1558.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1559.T0.1-V12-G-mjp-1.9.R","1-V12-G-mjp-1.9.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1555.T0.1-V12-G-mjp-1.10.R","1-V12-G-mjp-1.10.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1572.T0.1-V12-G-mjp-1.10.R","1-V12-G-mjp-1.10.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1569.T0.1-V12-G-mjp-1.10.R","1-V12-G-mjp-1.10.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1562.T0.1-V12-G-mjp-1.10.R","1-V12-G-mjp-1.10.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1557.T0.1-V12-G-mjp-1.11.R","1-V12-G-mjp-1.11.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1571.T0.1-V12-G-mjp-1.12.R","1-V12-G-mjp-1.12.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1648.T0.1-V12-G-mjp-1.13.R","1-V12-G-mjp-1.13.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1650.T0.1-V12-G-mjp-1.13.R","1-V12-G-mjp-1.13.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1568.T0.1-V12-G-mjp-1.14.R","1-V12-G-mjp-1.14.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1649.T0.1-V12-G-mjp-1.15.R","1-V12-G-mjp-1.15.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1564.T0.1-V12-G-mjp-1.16.R","1-V12-G-mjp-1.16.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1567.T0.1-V12-G-mjp-1.16.R","1-V12-G-mjp-1.16.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1565.T0.1-V12-G-mjp-1.17.R","1-V12-G-mjp-1.17.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1566.T0.1-V12-G-mjp-1.18.R","1-V12-G-mjp-1.18.R","Bendigo","1"
"1-V12-G-mjp-1","T0","1560.T0.1-V12-G-mjp-1.19.R","1-V12-G-mjp-1.19.R","Bendigo","1"
"1-V23-G-mjp-1","T0","1783.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1795.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1785.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1800.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1794.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1797.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1798.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1801.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1802.T0.1-V23-G-mjp-1.1.H","1-V23-G-mjp-1.1.H","Geelong","0"
"1-V23-G-mjp-1","T0","1784.T0.1-V23-G-mjp-1.2.H","1-V23-G-mjp-1.2.H","Geelong","0"
"1-V23-G-mjp-1","T0","1789.T0.1-V23-G-mjp-1.3.H","1-V23-G-mjp-1.3.H","Geelong","0"
"1-V23-G-mjp-1","T0","1790.T0.1-V23-G-mjp-1.3.H","1-V23-G-mjp-1.3.H","Geelong","0"
"1-V23-G-mjp-1","T0","1786.T0.1-V23-G-mjp-1.4.H","1-V23-G-mjp-1.4.H","Geelong","0"
"1-V23-G-mjp-1","T0","1806.T0.1-V23-G-mjp-1.4.H","1-V23-G-mjp-1.4.H","Geelong","0"
"1-V23-G-mjp-1","T0","1799.T0.1-V23-G-mjp-1.4.H","1-V23-G-mjp-1.4.H","Geelong","0"
"1-V23-G-mjp-1","T0","1787.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1811.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1816.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1818.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1820.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1822.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1824.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1826.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1830.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1832.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
"1-V23-G-mjp-1","T0","1834.T0.1-V23-G-mjp-1.5.H","1-V23-G-mjp-1.5.H","Geelong","0"
